"","cod_loc","nomb_loc","cod_upz","nom_upz","poblacion_u","densidad_ur","p0","p1","p2","p3","p4","p5","pt","q.p0","q.p1","q.p2","q.p3","q.p4","q.p5"
"102",12,"BARRIOS UNIDOS",103,"PARQUE EL SALITRE",4141,25.0594703283,0,3,2,9,5,0,20,0,0.15,0.1,0.45,0.25,0
"103",11,"SUBA",17,"SAN JOSE DE BAVARIA",47774,109.005077287,2,5,2,3,4,1,20,0.1,0.25,0.1,0.15,0.2,0.05
"104",11,"SUBA",2,"LA ACADEMIA",920,1.3688987503,7,0,4,5,1,1,19,0.368421052631579,0,0.210526315789474,0.263157894736842,0.0526315789473684,0.0526315789473684
"105",2,"CHAPINERO",89,"SAN ISIDRO-PATIOS",16201,143.348549857,0,15,1,0,0,0,16,0,0.9375,0.0625,0,0,0
"106",1,"USAQUEN",1,"PASEO DE LOS LIBERTADORES",3546,5.6200708652,2,7,1,4,0,1,15,0.133333333333333,0.466666666666667,0.0666666666666667,0.266666666666667,0,0.0666666666666667
"107",3,"SANTA FE",92,"LA MACARENA",14350,167.060001851,3,3,6,0,0,0,13,0.230769230769231,0.230769230769231,0.461538461538462,0,0,0
"108",8,"KENNEDY",83,"LAS MARGARITAS",14786,100.420026498,0,0,6,4,1,0,13,0,0,0.461538461538462,0.307692307692308,0.0769230769230769,0
"109",11,"SUBA",3,"GUAYMARAL",167,0.3681359961,3,0,1,2,0,0,8,0.375,0,0.125,0.25,0,0
"110",19,"CIUDAD BOLIVAR",63,"EL MOCHUELO",1466,4.6284755515,0,0,1,5,0,0,6,0,0,0.166666666666667,0.833333333333333,0,0
"111",19,"CIUDAD BOLIVAR",64,"MONTE BLANCO",5179,7.4445748949,0,5,0,0,0,0,5,0,1,0,0,0,0
"112",18,"RAFAEL URIBE URIBE",60,"PARQUE ENTRENUBES",NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"113",5,"USME",60,"PARQUE ENTRENUBES",1948,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
