ESTRATO,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
"0","15","1",1,1,0,15,1,1,0,1,1,1,1,0
"2","12","1",1,1,0,12,1,1,0,1,1,1,1,0
"3","7","1",1,1,0,7,1,1,0,1,1,1,1,0
"4","1","1",1,1,0,1,1,1,0,1,1,1,1,0
"6","1","1",1,1,0,1,1,1,0,1,1,1,1,0
