ESTRATO,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
"3","92","3",1,8,7,102,1.10869565217391,1,0.743910375316029,8,1,1,1,0
"0","95","2",1,2,1,107,1.12631578947368,1,0.332204922906516,2,1,1,1,0
"2","164","3",1,3,2,171,1.04268292682927,1,0.230339350823465,3,1,1,1,0
"4","33","3",1,3,2,36,1.09090909090909,1,0.37848472717566,2,1,1,1,0
"5","14","1",1,1,0,14,1,1,0,1,1,1,1,0
"1","91","2",1,2,1,94,1.03296703296703,1,0.178550294607384,2,1,1,1,0
"6","7","2",1,2,1,8,1.14285714285714,1,0.349927106111883,2,1,1,1,0
