ESTRATO,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
"3","39","2",1,2,1,40,1.02564102564103,1,0.158061897512025,2,1,1,1,0
"0","27","3",1,3,2,30,1.11111111111111,1,0.415739709641549,2,1,1,1,0
"4","10","1",1,1,0,10,1,1,0,1,1,1,1,0
"2","42","1",1,1,0,42,1,1,0,1,1,1,1,0
"5","2","1",1,1,0,2,1,1,0,1,1,1,1,0
"1","24","1",1,1,0,24,1,1,0,1,1,1,1,0
"6","1","1",1,1,0,1,1,1,0,1,1,1,1,0
