;Estrato;tipo0;tipo1;tipo2;tipo3;tipo4;tipo5;tipot;q.tipo0;q.tipo1;q.tipo2;q.tipo3;q.tipo4;q.tipo5
1;No estrato;27;95;91;43;28;15;299;0.0903010033444816;0.317725752508361;0.304347826086957;0.1438127090301;0.0936454849498328;0.0501672240802676
2;1;24;91;27;5;7;0;154;0.155844155844156;0.590909090909091;0.175324675324675;0.0324675324675325;0.0454545454545455;0
3;2;42;164;98;21;11;12;348;0.120689655172414;0.471264367816092;0.281609195402299;0.0603448275862069;0.0316091954022989;0.0344827586206897
4;3;39;92;87;46;15;7;286;0.136363636363636;0.321678321678322;0.304195804195804;0.160839160839161;0.0524475524475524;0.0244755244755245
5;4;10;33;14;14;1;1;73;0.136986301369863;0.452054794520548;0.191780821917808;0.191780821917808;0.0136986301369863;0.0136986301369863
6;5;2;14;5;4;2;0;27;0.0740740740740741;0.518518518518518;0.185185185185185;0.148148148148148;0.0740740740740741;0
7;6;1;7;7;5;1;1;22;0.0454545454545455;0.318181818181818;0.318181818181818;0.227272727272727;0.0454545454545455;0.0454545454545455
