ESTRATO,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
"0","28","5",1,9,8,44,1.57142857142857,1,1.65677335782046,3,1,1,1,0
"2","11","1",1,1,0,11,1,1,0,1,1,1,1,0
"4","1","1",1,1,0,1,1,1,0,1,1,1,1,0
"5","2","1",1,1,0,2,1,1,0,1,1,1,1,0
"3","15","1",1,1,0,15,1,1,0,1,1,1,1,0
"1","7","1",1,1,0,7,1,1,0,1,1,1,1,0
"6","1","1",1,1,0,1,1,1,0,1,1,1,1,0
