ESTRATO,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
"6","7","1",1,1,0,7,1,1,0,1,1,1,1,0
"2","98","2",1,2,1,100,1.02040816326531,1,0.141391902658684,2,1,1,1,0
"1","27","2",1,2,1,29,1.07407407407407,1,0.261891400439462,2,1,1,1,0
"3","87","2",1,2,1,90,1.03448275862069,1,0.182465607659627,2,1,1,1,0
"0","91","3",1,3,2,106,1.16483516483516,1,0.451219014673578,3,1,1,1,0
"4","14","1",1,1,0,14,1,1,0,1,1,1,1,0
"5","5","1",1,1,0,5,1,1,0,1,1,1,1,0
